,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,8
27.0207407407,0.0,-4813.83695156,13.9979495582,13.0227911825,-4813.78910935,9.5831862052,12.3305446371,-4813.46783047,4.93197383851,9.88219310579,-4812.87656329,2.76080323765,7.67625636431,-4812.42437778,8
27.0728571429,0.0,-4835.24888786,14.0222663255,13.0505908174,-4835.19463045,9.61096892308,12.3476463344,-4834.89905071,4.93313983135,9.90537678891,-4834.36966038,2.75331833826,7.69547317075,-4833.99173856,8
27.0875862069,0.0,-4841.30974717,14.0360361034,13.0515501034,-4841.27943872,9.62310867619,12.3494870484,-4840.99140127,4.92117299771,9.9178998773,-4840.55388149,2.73480214043,7.7065011387,-4840.27661587,8
27.0586666667,0.0,-4829.41359041,14.0370147531,13.0216519136,-4829.44502655,9.62008809945,12.3312919504,-4829.14768934,4.89923819625,9.91554782643,-4828.81553673,2.48613833243,7.41501828727,-4828.63788249,8
26.9838709677,0.0,-4798.72054284,14.0261361159,12.9577348519,-4798.87159136,9.6065727391,12.2882196653,-4798.55980398,4.87806424672,9.89244272659,-4798.29860184,2.46368577929,7.3999774977,-4798.20297106,8
26.87125,0.0,-4752.70798323,14.0074218109,12.8638281891,-4753.05893465,7.25233154651,11.3315142912,-4752.57287283,4.17463800794,9.27382523807,-4752.47444047,2.26467820122,7.11097070105,-4752.41294618,8
26.723030303,0.0,-4692.52159024,13.9839906555,12.7390396475,-4693.20074589,7.2548363213,11.2450215362,-4692.67416373,4.1840713543,9.21038921181,-4692.54199224,2.27253873129,7.0669354036,-4692.46420292,8
26.5329411765,0.0,-4615.94904662,13.9578462857,12.5750948907,-4617.1883114,7.26988310183,11.1274355476,-4616.64012311,4.20954487812,9.12374832042,-4616.42581814,2.29936969262,7.00572965207,-4616.25759487,8
26.3097142857,0.0,-4526.90946335,13.9307143558,12.3789999299,-4529.02526281,7.29285112857,10.9866527358,-4528.51666978,4.24354521472,9.0207369361,-4528.1856549,2.17052650738,6.70707102655,-4527.86361556,8
26.055,0.0,-4426.47162235,13.9029182464,12.1520817536,-4429.90547646,7.32088918642,10.8254685588,-4429.54024786,4.28274334725,8.90359015575,-4429.06888182,2.20155057513,6.63092006309,-4428.6276297,8
25.7718918919,0.0,-4316.28713511,13.8741534038,11.8977384881,-4321.60962425,7.3506055704,10.6478465057,-4321.52540717,4.32394745483,8.77505007373,-4320.90723814,2.23493207186,6.54717500232,-4320.32590726,8
25.4836842105,0.0,-4205.68190181,13.8438369658,11.6398472447,-4213.35947909,7.37391795426,10.4717975916,-4213.64746193,3.83689070031,8.20622882132,-4212.79166271,2.11381613587,6.26973471394,-4212.21919061,8
25.2005128205,0.0,-4098.54267221,13.8115291646,11.3889836559,-4108.92819231,7.38686431287,10.3054538425,-4109.61483403,3.84934569013,8.10056429611,-4108.72785016,2.1178105227,6.19871380038,-4108.18679756,8
13.7769291892,11.1435708108,-4007.51829935,9.65975830198,10.80223615,-4008.95870826,7.38871072704,10.148359505,-4008.59271313,3.8480081857,8.00228551874,-4007.72753122,1.99600370259,5.95387797798,-4007.07917739,8
13.7396292023,10.8945171391,-3905.7278688,9.6590196364,10.6032896463,-3907.54053082,7.38012016959,9.99512190177,-3907.18033307,3.842996598,7.90366380097,-3906.32332497,2.00234890103,5.88408912257,-3905.55589172,8
13.6990080031,10.6309919969,-3799.76254156,9.65388272627,10.3957397157,-3801.94837879,7.36226910334,9.83910728508,-3801.60691398,3.84610827917,7.79560347918,-3800.67095355,2.01697180926,5.80795808283,-3799.72300616,8
