delta_mean,delta_std,delta_entropy,theta_mean,theta_std,theta_entropy,alpha_mean,alpha_std,alpha_entropy,beta_mean,beta_std,beta_entropy,gamma_mean,gamma_std,gamma_entropy,userId
32.5782135944,25.6752646665,-27771.6784974,22.8064701591,25.1088314475,-27796.8618157,14.3590294979,22.0313891088,-27804.2634908,8.38335390397,17.7284430013,-27803.7916739,4.46709286179,13.1335330517,-27800.6612407,1
32.7422645051,25.8036929417,-28086.1308754,22.8907315299,25.2585124307,-28109.6904347,14.3997103144,22.1587931178,-28116.7313313,8.42836746279,17.8146320521,-28116.6062223,4.49467081368,13.1969274536,-28113.4830486,1
32.9045568599,25.9408598067,-28409.3080572,22.97357635,25.4139243878,-28431.2892871,14.4556198216,22.2804210636,-28438.4017904,7.71352780046,17.1369940729,-28438.4930339,4.3131620515,12.9389334583,-28435.3450167,1
33.0626011715,26.0802559714,-28731.8640219,23.0561645711,25.5677671016,-28752.4792748,14.5268112456,22.3920534262,-28760.1624024,7.76602689534,17.2171177593,-28760.7966046,4.34132231945,13.0019074046,-28757.6560548,1
33.2131646864,26.2152353136,-29043.2212617,23.1380978434,25.713284222,-29062.7661476,14.6069762259,22.4926026673,-29071.4518863,7.81043426878,17.2967695725,-29072.4246481,4.36171502321,13.0644608385,-29069.3074718,1
33.3557291974,26.3446629595,-29341.3824157,23.219170063,25.8494456382,-29360.1376207,14.6890659738,22.5853310559,-29370.0881463,7.84365569529,17.3764388416,-29371.0816925,4.17857647982,12.8220958042,-29367.6722349,1
33.4928934712,26.4728757596,-29633.6225299,23.3005038857,25.9803459993,-29651.8176474,14.7693740768,22.6757783276,-29663.1253431,7.87016657414,17.4564562665,-29663.8814002,4.19258693266,12.8798900309,-29660.4678047,1
33.6260262053,26.6015209645,-29923.145116,23.3829666921,26.1074921839,-29940.9963846,14.8462485047,22.7663638239,-29953.6241044,7.89757427743,17.5347248449,-29954.0371273,4.20958404273,12.9359149665,-29950.6135268,1
33.7570115338,26.7329884662,-30214.611882,23.4678469496,26.2329741084,-30232.3306209,12.6557961369,21.4727511392,-30247.2000198,7.27406861037,16.9191023169,-30245.9251277,4.04735672835,12.7042812635,-30242.5471623,1
33.8899313729,26.8733413544,-30519.2585028,23.5580749177,26.3618189684,-30537.0647672,12.7036974512,21.573388915,-30552.7416231,7.31410630154,16.9917832088,-30551.6305551,4.07407289879,12.7587063719,-30548.2122036,1
